block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933675,3000000000,67.98,-1.00,0.90,8.75,6.25,1.08,26.32,55.28,51.52,7.69
6933985,3110000000,77.78,0.45,31.34,-1.00,13.01,-1.00,64.44,47.06,21.57,3.03
6933992,3080000000,43.37,1.10,9.88,1.54,59.57,4.00,1.35,38.78,10.00,40.35
6933409,4150987148,60.00,1.59,40.46,18.12,1.49,49.50,21.77,38.33,39.24,68.29
6933421,3900000000,13.87,28.81,60.00,1.12,27.34,58.54,0.52,22.14,5.88,50.00
6933524,8000000000,31.03,5.56,54.02,62.50,53.12,60.00,8.33,65.67,34.71,89.29
6933548,3000000000,76.77,2.38,16.67,48.24,-1.00,26.89,36.84,100.00,5.00,26.58
6933660,3000000000,27.38,6.98,55.17,50.00,13.38,70.59,20.00,17.82,0.00,1.06
6933439,3750000000,5.26,100.00,29.77,62.81,64.29,27.74,15.38,34.22,1.30,-1.00
6933936,3432000000,11.02,23.58,3.70,7.20,30.83,1.05,57.68,0.58,3.12,3.45
6933530,3000000000,90.57,12.88,58.70,71.43,-1.00,1.25,55.32,2.15,12.20,4.82
6933777,3000000000,18.18,37.21,15.15,18.18,71.55,18.18,22.22,-1.00,2.50,28.12
6933820,2420000000,2.63,0.79,1.80,16.47,74.84,7.56,21.05,0.76,-1.00,2.38
6933855,2759734681,11.76,14.29,8.33,17.71,6.25,2.54,0.77,5.80,50.00,74.51
6933991,4000000000,20.00,48.89,67.44,50.00,34.25,70.59,72.41,36.05,31.43,26.40
6933621,4550000000,-1.00,11.11,37.50,3.70,42.19,-1.00,-1.00,-1.00,15.29,89.29
6933846,3000000000,16.67,9.09,100.00,32.56,20.00,50.00,33.33,44.12,20.34,0.62
6933892,3000000000,86.36,10.48,73.17,28.85,0.94,75.00,12.07,8.33,25.61,9.52
6933452,3000000000,0.80,64.29,-1.00,3.07,82.61,1.69,26.19,0.65,18.24,29.01
6933620,3000000000,94.12,14.29,2.13,15.87,100.00,17.74,41.74,2.70,29.41,5.26
6933827,3000000000,51.52,3.33,17.39,14.29,42.59,11.11,49.40,50.00,17.65,50.00
6933833,5000000000,18.52,40.10,45.52,60.00,55.45,1.59,56.25,28.93,89.29,33.77
6933894,9000000000,27.27,55.32,80.00,14.29,53.09,31.09,27.81,81.82,38.33,62.98
6933569,2860000000,1.49,61.70,21.86,1.08,48.33,19.73,-1.00,100.00,1.72,0.68
6933710,3000000000,2.15,12.20,58.70,4.82,-1.00,1.25,71.43,90.57,55.32,53.33
6933764,3900000000,50.00,14.29,22.22,9.60,58.54,31.03,14.00,31.31,25.93,16.92
6933384,6000000000,-1.00,5.56,53.73,58.75,-1.00,89.29,60.00,8.33,49.43,31.40
6933581,3000000000,16.67,21.65,31.52,10.00,1.10,5.63,1.64,42.17,1.35,36.73
6933739,3000000000,90.57,55.32,5.38,55.00,1.72,1.25,53.33,14.19,2.00,100.00
6933793,3000000000,26.89,16.67,21.65,31.52,36.84,2.38,100.00,5.00,26.58,5.63
